dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 85
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 39
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 117
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 117
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 345
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 345
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 53
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 53
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 195
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 195
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 34
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 34
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 110
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 110
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 27
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 27
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 100
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 100
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 84
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 84
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 108
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 108
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 154
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 154
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 119
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 119
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 54
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 54
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 185
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 185
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 166
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 166
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 100
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 100
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 96
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 96
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 90
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 90
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 282
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 282
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 120
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 120
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 28
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 28
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 130
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 130
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 65
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 65
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 101
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 101
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 67
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 67
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 118
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 118
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 121
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 121
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 186
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 186
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 131
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 131
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 137
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 137
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 346
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 346
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 80
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 80
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 167
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 167
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 97
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 97
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 260
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 260
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 138
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 138
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 53
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 53
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 132
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 132
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 29
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 29
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 123
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 123
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 168
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 168
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 98
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 98
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 81
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 81
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 68
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 68
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 102
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 102
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 139
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 139
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 283
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 283
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 103
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 103
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 124
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 124
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 109
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 109
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 100
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 100
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 952
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 953
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 91
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 91
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 954
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 122
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 122
dwCan = 0 dwGet = 0 dwData = dwLevel 		value = 6
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 65
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 65
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 110
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 110
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 66
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 66
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 347
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 347
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 104
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 104
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 284
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 284
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 67
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 67
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 86
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 86
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 111
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 111
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 91
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 91
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 285
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 285
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 209
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 209
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 125
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 125
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 261
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 261
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 348
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 348
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 286
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 286
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 123
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 123
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 262
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 262
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 92
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 92
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 263
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 263
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 61
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 61
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 124
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 124
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 155
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 155
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 69
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 69
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 35
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 35
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 156
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 156
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 126
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 126
dwCan = 0 dwGet = 0 dwData = dwLevel 		value = 10
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 264
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 264
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 265
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 265
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 36
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 36
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 62
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 62
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 63
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 63
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 52
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 52
dwCan = 0 dwGet = 0 dwData = dwLevel 		value = 7
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 101
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 101
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 157
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 157
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 127
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 127
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 43
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 43
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 128
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 128
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 174
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 174
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 53
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 53
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 175
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 175
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 112
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 112
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 64
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 64
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 176
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 176
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 68
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 68
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 955
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 63
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 63
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 50
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 50
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 956
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 113
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 113
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 52
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 52
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 957
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 85
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 85
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 69
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 69
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 958
